t,distance,closing_speed,future_distance,risk,ttc,prediction_error,alert,in_danger_zone
0.0,44.05,6.98,26.15,0.452,6.31,0,WARNING,1
0.5,42.85,6.98,24.96,0.455,6.14,6.99,WARNING,1
1.0,41.66,6.98,23.78,0.458,5.97,6.99,WARNING,1
1.5,40.46,6.98,22.59,0.461,5.8,6.99,WARNING,1
2.0,39.27,6.97,21.41,0.464,5.63,6.99,WARNING,1
2.5,38.08,6.97,20.23,0.467,5.46,6.99,WARNING,1
3.0,36.09,6.97,6.84,0.508,5.18,6.99,WARNING,1
3.5,33.3,6.96,3.36,0.552,4.78,6.99,WARNING,1
4.0,29.73,6.96,3.43,0.602,4.27,6.99,WARNING,1
4.5,25.36,6.94,5.26,0.657,3.66,6.61,DANGER,1
5.0,20.23,6.9,2.98,0.721,2.93,6.6,DANGER,1
5.5,14.35,6.81,4.11,0.796,2.11,6.61,DANGER,1
6.0,7.9,6.35,3.3,0.839,1.25,6.61,DANGER,1
6.5,3.34,0.36,4.51,0.712,9.29,6.61,DANGER,1
7.0,7.59,0.0,11.34,0.672,,6.61,DANGER,0
7.5,14.21,0.0,18.84,0.65,,6.6,WARNING,0
8.0,21.07,0.0,26.3,0.65,,6.6,WARNING,0
8.5,28.0,0.0,33.67,0.65,,6.58,WARNING,0
9.0,34.95,0.0,40.97,0.65,,6.59,WARNING,0
9.5,41.91,0.0,48.13,0.65,,6.59,WARNING,0
10.0,48.89,0.0,55.25,0.65,,6.6,WARNING,0
10.5,55.87,0.0,62.28,0.492,,6.59,WARNING,0
11.0,62.85,0.0,69.27,0.465,,6.59,WARNING,0
11.5,69.83,0.0,76.26,0.439,,6.59,SAFE,0
12.0,76.81,0.0,83.24,0.413,,6.59,SAFE,0
12.5,83.8,0.0,90.23,0.387,,6.59,SAFE,0
13.0,90.79,0.0,97.22,0.361,,6.59,SAFE,0
13.5,97.78,0.0,104.21,0.335,,6.59,SAFE,0
14.0,104.76,0.0,0,0.309,,0,SAFE,0
14.5,111.75,0.0,0,0.283,,0,SAFE,0
15.0,118.74,0.0,0,0.257,,0,SAFE,0
15.5,125.73,0.0,0,0.231,,0,SAFE,0
16.0,132.72,0.0,0,0.204,,0,SAFE,0
16.5,139.71,0.0,0,0.179,,0,SAFE,0
17.0,146.7,0.0,0,0.152,,0,SAFE,0
17.5,153.69,0.0,0,0.17,,0,SAFE,0
18.0,160.68,0.0,0,0.157,,0,SAFE,0
18.5,167.67,0.0,0,0.145,,0,SAFE,0
19.0,174.66,0.0,0,0.133,,0,SAFE,0
19.5,181.65,0.0,0,0.12,,0,SAFE,0
20.0,188.65,0.0,0,0.108,,0,SAFE,0
20.5,195.64,0.0,0,0.096,,0,SAFE,0
21.0,202.63,0.0,0,0.083,,0,SAFE,0
21.5,209.62,0.0,0,0.071,,0,SAFE,0
22.0,216.61,0.0,0,0.059,,0,SAFE,0
22.5,223.6,0.0,0,0.046,,0,SAFE,0
23.0,230.59,0.0,0,0.034,,0,SAFE,0
23.5,237.58,0.0,0,0.022,,0,SAFE,0
24.0,244.58,0.0,0,0.01,,0,SAFE,0
24.5,251.57,0.0,0,0.0,,0,SAFE,0
25.0,258.56,0.0,0,0.0,,0,SAFE,0
25.5,265.55,0.0,0,0.0,,0,SAFE,0
26.0,272.54,0.0,0,0.0,,0,SAFE,0
26.5,279.53,0.0,0,0.0,,0,SAFE,0
27.0,286.53,0.0,0,0.0,,0,SAFE,0
27.5,293.52,0.0,0,0.0,,0,SAFE,0
28.0,300.51,0.0,0,0.0,,0,SAFE,0
28.5,307.5,0.0,0,0.0,,0,SAFE,0
29.0,314.49,0.0,0,0.0,,0,SAFE,0
29.5,321.48,0.0,0,0.0,,0,SAFE,0
